Algorithm,Distance,Clusters,Dataset,Ranking,timeExternal,entropy,variation_information,precision,recall,f_measure,fowlkes_mallows_index,connectivity,dunn,silhouette,timeInternal
gmm,gmm_euclidean,3,dataframe,1,0.0224,0.2374,5.104,0.1869,0.5601,0.2803,0.3236,47.39,0.1096,0.18,0.0068
gmm,gmm_euclidean,3,dataframe,2,0.1436,0.212,5.084,0.1178,0.5134,0.1916,0.246,47.39,0.1096,0.18,0.0091
gmm,gmm_euclidean,3,dataframe,3,0.1631,0.0064,5.063,0,0,0,0,47.39,0.1096,0.18,0.0116
gmm,gmm_euclidean,3,dataframe,4,0.228,0.0032,3.731,0,0,0,0,47.39,0.1096,0.18,0.0133
gmm,gmm_euclidean,3,dataframe,5,0.2485,0,3.431,0,0,0,0,47.39,0.1096,0.18,0.0456
gmm,gmm_euclidean,4,dataframe,1,0.0246,0.3734,4.767,0.1344,0.3763,0.1908,0.2103,41.31,0.1233,0.2,0.0068
gmm,gmm_euclidean,4,dataframe,2,0.0275,0.2983,4.746,0.1057,0.329,0.165,0.1995,41.31,0.1233,0.2,0.0069
gmm,gmm_euclidean,4,dataframe,3,0.151,0.0064,4.726,0,0,0,0,41.31,0.1233,0.2,0.0074
gmm,gmm_euclidean,4,dataframe,4,0.153,0.0032,4.101,0,0,0,0,41.31,0.1233,0.2,0.0074
gmm,gmm_euclidean,4,dataframe,5,0.1581,0,4.068,0,0,0,0,41.31,0.1233,0.2,0.0075
gmm,gmm_manhattan,3,dataframe,1,0.0135,0.2498,5.086,0.183,0.536,0.2728,0.3132,40.76,0.1151,0.2,0.0071
gmm,gmm_manhattan,3,dataframe,2,0.0148,0.2201,5.065,0.1186,0.5054,0.1921,0.2448,40.76,0.1151,0.2,0.0074
gmm,gmm_manhattan,3,dataframe,3,0.158,0.0064,5.044,0,0,0,0,40.76,0.1151,0.2,0.0075
gmm,gmm_manhattan,3,dataframe,4,0.1584,0.0032,3.776,0,0,0,0,40.76,0.1151,0.2,0.0075
gmm,gmm_manhattan,3,dataframe,5,0.1635,0,3.505,0,0,0,0,40.76,0.1151,0.2,0.0075
